author,title,container-title,publisher,editor,issued
"Franke, J. L., Daniels, J. J., and Mcfarlane, D. C.",Recovering context after interruption.,In: 24 th Annual Meeting of the Cognitive Science Society,,,2002b
"Freed, M., Carbonell, J. G., Gordon, G. J., Hayes, J., Myers, B. A., Siewiorek, D. P., Smith, S. F., Steinfeld, A., and Tomasic, A.",Radar: A personal assistant that learns to reduce email overload.,AAAI,,,2008
"Grevet, C., Choi, D., Kumar, D., and Gilbert, E.",Overload is overloaded: Email in the age of gmail.,"Proceedings of the SIGCHI Conference on Human Factors in Computing Systems, CHI '14",ACM,,2014
"Gwizdka, J.",Timely reminders: A case study of temporal guidance in pim and email tools usage.,"CHI '00 Extended Abstracts on Human Factors in Computing Systems, CHI EA '00",ACM,,2000
"Gwizdka, J.",Reinventing the inbox: Supporting the management of pending tasks in email.,"CHI '02 Extended Abstracts on Human Factors in Computing Systems, CHI EA '02",ACM,,2002
"Hanrahan, B. and Perez-Quinones, M.",Procrastinate: How i learned to stop worrying about email and love procrastinating,,Personal Information Management Workshop 2012,,2012
"Iqbal, S. T. and Horvitz, E.","Disruption and recovery of computing tasks: field study, analysis, and directions.","Proceedings of the SIGCHI conference on Human factors in computing systems, CHI '07",ACM,,2007
"Jones, W., Klasnja, P., Civan, A., and Adcock, M. L.",The personal project planner: planning to organize personal information.,CHI '08: Proceeding of the twenty-sixth annual SIGCHI conference on Human factors in computing systems,ACM,,2008
"Kokkalis, N., Kohn, T., Pfeiffer, C., Chornyi, D., Bernstein, M. S., and Klemmer, S. R.","Emailvalet: Managing email overload through private, accountable crowdsourcing.","Proceedings of the 2013 Conference on Computer Supported Cooperative Work, CSCW '13",ACM,,2013
"Levy, D. M.","To grow in wisdom: vannevar bush, information overload, and the life of leisure.","Proceedings of the 5th ACM/IEEE-CS joint conference on Digital libraries, JCDL '05",ACM,,2005
"Mark, G., Gudith, D., and Klocke, U.",The cost of interrupted work: more speed and stress.,"Proceedings of the SIGCHI Conference on Human Factors in Computing Systems, CHI '08",ACM,,2008
"Muller, M., Millen, D. R., and Feinberg, J.","Patterns of usage in an enterprise filesharing service: publicizing, discovering, and telling the news.",CHI '10: Proceedings of the 28th international conference on Human factors in computing systems,ACM,,2010
"Neustaedter, C., Brush, A. J., Smith, M. A., and Fisher, D.",The social network and relationship finder: Social sorting for email triage.,Proc. of the Conf. on Email and Anti-Spam (CEAS),,,2005
"O'Neill, J. and Martin, D.",Text chat in action.,"Proceedings of the 2003 International ACM SIGGROUP Conference on Supporting Group Work, GROUP '03",ACM,,2003
"Rector, K. and Hailpern, J.",Minemail: Sms alert system for managing critical emails.,"Proceedings of the SIGCHI Conference on Human Factors in Computing Systems, CHI'14",ACM,,2014
"Singh, N., Tomitsch, M., and Maher, M. L.",Understanding the management and need for awareness of temporal information in email.,Proceedings of the Fourteenth Australasian User Interface Conference,"Australian Computer Society, Inc.",,2013
"Tyler, J. R. and Tang, J. C.",When can i expect an email response? a study of rhythms in email usage.,ECSCW'03: Proceedings of the eighth conference on European Conference on Computer Supported Cooperative Work,Kluwer Academic Publishers.,,2003
"Venolia, G. D. and Neustaedter, C.",Understanding sequence and reply relationships within email conversations: a mixed-model visualization.,CHI '03: Proceedings of the SIGCHI conference on Human factors in computing systems,ACM,,2003
"Wainer, J., Dabbish, L., and Kraut, R.","Should i open this email?: inbox-level cues, curiosity and attention to email.","Proceedings of the 2011 annual conference on Human factors in computing systems, CHI '11",ACM,,2011
"Whittaker, S., Matthews, T., Cerruti, J., Badenes, H., and Tang, J.",Am i wasting my time organizing email?: a study of email refinding.,"Proceedings of the 2011 annual conference on Human factors in computing systems, CHI '11,",ACM,,2011
"Whittaker, S. and Sidner, C.",Email overload: exploring personal information management of email.,Proc. CHI 1996,ACM Press,,1996
"Cummins, K. L., J. A. Cramer, C. J. Biagi, E. P. Krider, J. Jerauld, M. A. Uman, and V. A. Rakov",The U.S. National Lightning Detection Network: Post-Upgrade Status,2nd Conference on Meteorological Applications of Lightning Data,,,2006
"Koshak, and H. S. Peterson",A summary of the NASA Lightning Nitrogen Oxides Model (LNOM) and recent results,10th Annual CMAS Conference,,,2011
"Koshak, W. J., H. S. Peterson, E. W. McCaul, and A. Biazar",Estimates of the Lightning NOx Profile in the Vicinity of the North Alabama Lightning Mapping Array,21st International Lightning Detection Conference (ILDC)/Vaisala,,,2010
"Fabian, A. C.",,Proceedings of the National Academy of Science,,,1999a
"Hansen, & Ostermeirer.",,Proceedings of the 1996 IEEE International Conference on Evolutionary Computation,,,1996
"Hansen, N., & Kern, S.",,"Eighth International Conference on Parallel Problem Solving from Nature PPSN VIII, Proceedings",Springer,,2004
"Takahashi, T., et al.",,Presented at the Society of Photo-Optical Instrumentation Engineers (SPIE) Conference,Society of Photo-Optical Instrumentation Engineers (SPIE) Conference Series,,2010
"Turnshek, D. A.",,"IAU Symposium, Vol. 119, Quasars",,G. Swarup & V. K. Ka-pahi,1986
"Borralho, N.M.G.",The impact of individual tree mixed models (BLUP) in tree breeding  strategies.,Eucalypt  plantations:  improving  fibre  yield  and  quality. Proceedings of CRCTHF-IUFRO Conference,,,1995
"Li,  B.,  McKeand,  S.E.,  Hatcher,  A.V.,  and  Weir,  R.J.",Genetic  gains  of  second generation selections from the NCSU-Industry Cooperative Tree Improvement Program.,Pro. 24th South. For. Tree Impr. Conf.,,,"June 9-12, 1997"
"Li, B., McKeand, S.E., and Weir, R.J.",Genetic parameter estimates and selection efficiency for the loblolly pine breeding in the south-eastern US.,In: Tree improvement for sustainable tropical forestry. Proceedings of QFRI-IUFRO Conference,,,1996
"Borralho, N.M.G.",The impact of individual tree mixed models (BLUP) in tree breeding strategies.,Eucalypt plantations: improving fibre yield and quality. Proceedings of CRCTHF-IUFRO Conference.,,,1995
"W . J. Hehre, L. Radom, P. VR. Schleyer, and J. A. Pople",Ab Initio Molecular Orbital Theory,,Wiley,,1986
,Density Functional Methods in Chemistry,,Springer-Verlag,,1991
R. G. Parr and W. Yang,Density Functional Theory of Atoms and Molecules,,,,1989
J. D. Joannopoulos,,Physics of Disordered Materials,Plenum Publishing,,1985
"W. J. Hehre, L. Radom, P. v.R. Schleyer, and J. A. Pople",Ab Initio Molecular Orbital Theory,,Wiley,,1986
W. Bollmann,Crystal Defects and Crystalline Interfaces,,Springer,,1970
L. I. Schiff,Quantum Mechanics,,McGraw-Hill,,1949
,"Recommended Practice for Planning, Designing and Constructing Fixed Offshore Platforms - Load and Resistance Factor Design",RP 2A-LRFD,American Petroleum Institute,,July 1993
,"Recommended Practice for Planning, Designing and Constructing Fixed Offshore Platforms - Working Stress Design",RP 2A-WSD,American Petroleum Institute,,1969
,"Recommended Practice for Planning, Designing and Constructing Fixed Offshore Platforms - Working Stress Design",RP 2A-WSD,American Petroleum Institute,,1984
,"Recommended Practice for Planning, Designing and Constructing Fixed Offshore Platforms - Working Stress Design",RP 2A-WSD,American Petroleum Institute,,July 1993
,"Recommended Practice for Planning, Designing and Constructing Fixed Offshore Platforms - Working Stress Design","Supplement 1, RP 2A-WSD",American Petroleum Institute,,December 1996
"Ang, A. H-S. and Tang, W. H.",Probability Concepts in Engineering Planning and Design,,Wiley and Sons,,1975
"Barkan, D. D.",Dynamics of Bases and Foundations,,McGraw-Hill,,1962
"Bea, R. G.",Dynamic Response of Piles in Offshore Platforms,Dynamic Response of Pile Foundations: Analytical Aspects,ASCE,M. W. O'Neill and R. Dobry,1980
"Bolt, B. A.","Earthquakes,",,W. H. Freeman and Co.,,1993
"Brebbia, C. A., and Walker, S.",Dynamic Analysis of Offshore Structures.,,Newness-Butterworths,,1979
"Chopra, A. K.",Dynamics of Structures - Theory and Applications to Earthquake Engineering,,Prentice-Hall,,1995
"Focht, J. A., and Kraft, L. M.","Axial Performance and Capacity of Piles,",Planning and Design of Fixed Offshore Platforms,,"McClelland, B., and Reifel",1986
"Newmark, N. M., and Hall, W. J.",Earthquake Spectra and Design,Earthquake Engineering Research Institute,,,1982
"Newmark, N. M., and Rosenblueth, E.",Fundamentals of Earthquake Engineering,Prentice-Hall,,,1971
"Parlett, B.",The Symmetric Eigenvalue Problem,,Prentice-Hall,,1980
"Randolph, M. F., Houlsby, G. T.",The Limiting Pressure on a Circular Pile Loaded Laterally in Cohesive Soil,Geotechniaue,,,1984
"Richart, F. E., Jr., Hall, J. R., Jr., and Woods, R. D.",Vibration of Soils and Foundations.,,Prentice-Hall,,1970
"Schiff, D.",Dynamic Analysis and Failure Modes of Simple Structures.,,Wiley and Sons,,1990
"Thoft-Christiansen, P. and Baker, J.",Structural Reliability Theory and Its Applications.,,Springer-Verlag,,1981
"Timoshenko, S., Young, D. H., and Weaver, W., jr.",Vibration Problems in Engineering.,,John Wiley and Sons,,1974
"Zayas, V. A., Mahin, S. A., and Popov, E. P.",Cyclic Inelastic Behavior of Steel Offshore Structures,Earthquake Engineering Research Center,,,June 1980
"Zayas, V. A., Popov, E. P., and Mahin, S. A.",Cyclic Inelastic Buckling of Tubular Steel Braces,Earthquake Engineering Research Center,,,August 1980
"Zayas, V. A., Shing, B. P. S., Mahin, S. A., and Popov, E. P.",Inelastic Structural Modeling of Braced Offshore Platforms for Seismic Loading,Earthquake Engineering Research Center,,,June 1981
Biggerstaff. T. and Perlis. A.,Software Reusability.,,ACM Press,,1989
Booch. G.,Object Oriented Design with Applications.,,Benjamin/Cummings,,1991
"Geist. A.. Beguelin. A.. Dongarra, J., Jiang. W.. Manchek. R.. and Sunderam, V.",PVM: Parallel Virtual Machine.,,MIT Press,,1994
Simon. H. and Siklossy. L.,Representation and Meaning.,,Prentice-Hall,,1972
Thorpe. C.,Vision and Navigation: the The Carnegie Mellon Navlab.,,Kluwer Academic Publishers,,1990
R. M. Nedderman,Statics and Kinematics of Granular Materials.,,Cambridge University Press,,1992
K. Gotoh,Powder Technology Handbook,,"Marcel Dekker, Inc.",,1997
D. Gidaspow,Multiphase Flow and Fluidization: Continuum and Kinetic Theory De-scriptions.,,Academic Press,,1994
J. N. Israelachvelli,Intermolecular and Surface Forces,,Academic Press,,1991
W. Pietsch,"Agglomeration Processes: Phenomena, Technologies, Equipment.",,WILEY-VCH,,2002
K. Shinohara,Powder Technology Handbook,Segregation of particles,Marcel Dekker,,1997
L. Bates,User Guide to Segregation.,Bristish Materials Handling Board,,,1998
J. M. Ottino,"The kinematics of mixing: stretching, chaos, and transport.",,Cambridge Univeristy Press,,1989
K. L. Johnson,Contact Mechanics.,,Cambridge University Press,,1987
"J. P. K. Seville, U. Tuzun, and R. Clift",Processing of Particulate Solids.,,Blackie Academic and Professional,,1997
J. S. M. Botterill,Fluid-bed heat transfer.,,Academic Press,,1975
,Diagnostic and statistical manual of mental disorders,,American Psychiatric Association,,1994
"Barnard, P., Ramponi, C., Battye, G., & Mackintosh., B.",Anxiety and the deployment of visual attention over time.,Visual Cognition,,,2005
"Beck, A. T., Steer, R. A., & Brown, G. K.",Manual for the Beck Depression Inventory,,The Psychological Corporation,,1996
"James, W.",The principles of psychology.,,Henry Holt,,1890
"Pashler, H.",The psychology of attention.,,MIT Press,,1998
"Spielberger, C.D., Gorsuch, R.L., & Lushene, R.E.",STAI manual fo r the state-trait anxiety inventory.,,Consulting Psychologists Press,,1970
"Styles, E.A.",The psychology of attention.,,Psychology Press,,1997
"Williams, J.M.G., Watts, F.N., MacLeod, C. & Mathews, A.",Cognitive psychology and emotional disorders,,John Wiley,,1988
,"American Heritage, ""Task,"" American Heritage Dictionary of English Language",,Houghton Mifflin Company,,2007
C. B. Jones,Systematic Software Development using VDM.,,Prentice-Hall,,1990
M. Richters and M. Gogolla,Advances in Object Modelling with the OCL.,"OCL - Syntax, Semantics and Tools",Springer,,2001
S. Russel and P. Norvig,Artificial Intelligence: A Modern Approach,,Prentice Hall,,2002
J.Spivey,The Z Notation: Reference Manual,Seriesincomputer science,Prentice Hall International,,1998
,Java Standard Edition,,Sun Microsystems Inc.,,2007
E. Tsang,Foundations of Constraint Satisfaction,Computation in Cognitive Science,Academic Press,,1993
"Boettke, Peter J., Coyne, Christopher J., and Leeson Peter T.",Hayek vs. the Neoclassicists: Lessons from the Socialist Calculation Debate in Elgar Companion to Hayekian Economics,,Edward Elgar Publishing Ltd.,Norman Barry,2005
"Clark, P., Tamirisa, N., and Wei, S. J.",Exchange Rate Volatility and Trade Flows - Some New Evidence.,International Monetary Fund.,,,1994
"Easterly, William",The White Man's Burden: Why the West's efforts to aid the rest have done so much ill and so little good,,The Penguin Press,,2006
"Freeman, Chris and Soete, Luc",The Economics of Industrial Innovation,MIT Press,,,1997
"Hallberg, K.",A Market-Oriented Strategy For Small and Medium-Scale Enterprises,IFC Discussion Paper,,,2001
